length,common_edges,common_nodes,common_edges_mean,common_nodes_mean
37062.01500803461,0.285,0.55,0.24722500000000003,0.54509
39464.25014557388,0.27,0.56,0.222655,0.53586
39865.99730154624,0.26,0.51,0.23373500000000003,0.5398299999999999
40472.2091583806,0.27,0.51,0.23293,0.5418200000000001
37643.99063448893,0.275,0.5,0.24686000000000002,0.54619
38551.03308584614,0.255,0.6,0.24019,0.5424000000000001
39082.446309832376,0.255,0.52,0.24191,0.54314
39507.08677522547,0.315,0.62,0.2351,0.53949
39388.67732443088,0.29,0.56,0.23344,0.54316
39630.739345708265,0.2,0.62,0.24124500000000001,0.53934
39060.314416252935,0.26,0.51,0.23547500000000002,0.54052
40475.266022424126,0.215,0.53,0.22604500000000002,0.5443300000000001
36730.30158987266,0.205,0.55,0.24944500000000003,0.54419
41780.65590725417,0.27,0.55,0.2337,0.5405500000000001
42834.32874320871,0.215,0.53,0.22738,0.53899
38644.295298640674,0.275,0.57,0.23917000000000002,0.54055
38517.67626327506,0.29,0.51,0.24105500000000002,0.54212
38534.48271996212,0.265,0.52,0.2416,0.54426
37962.12025607802,0.32,0.51,0.251565,0.54388
40809.78536426955,0.19,0.59,0.23061,0.5429
35425.59103945437,0.24,0.55,0.252535,0.54882
39822.862481379634,0.235,0.6,0.23290500000000003,0.5427799999999999
38121.82366477921,0.335,0.61,0.251505,0.54446
37356.60953678642,0.275,0.51,0.24926,0.5395699999999999
38845.357198981335,0.275,0.5,0.25739999999999996,0.54334
40872.24575554527,0.23,0.54,0.232585,0.54288
39252.81633098681,0.28,0.55,0.237435,0.54355
41918.880109595746,0.17,0.58,0.227075,0.5410600000000001
35648.567060119414,0.205,0.6,0.261835,0.54661
38061.78326612271,0.215,0.51,0.23933500000000002,0.5404100000000001
37574.48020163832,0.335,0.54,0.248675,0.54187
38598.51597645408,0.265,0.58,0.23995499999999997,0.54144
36038.942757237666,0.315,0.55,0.253015,0.5446599999999999
36393.07855507984,0.325,0.61,0.256425,0.54388
39624.86282555967,0.255,0.58,0.22432999999999997,0.54036
39820.30252298882,0.38,0.58,0.24364,0.54354
35754.43429503226,0.25,0.53,0.24931999999999999,0.5458800000000001
36183.737791171596,0.38,0.59,0.25478,0.54559
38980.85547977671,0.32,0.53,0.23276,0.54102
39017.90034271423,0.3,0.62,0.24714,0.54511
39257.938204366306,0.26,0.52,0.23578,0.53822
38624.996557493156,0.32,0.57,0.24387,0.5433399999999999
40495.540099060294,0.255,0.51,0.223355,0.54076
38884.036700563476,0.26,0.58,0.244205,0.5423
37293.973957589886,0.275,0.56,0.25695,0.5444000000000001
38108.658524278086,0.285,0.57,0.240485,0.5429200000000001
36862.432491364016,0.335,0.51,0.253185,0.5415599999999999
39888.50525706171,0.215,0.61,0.23737,0.5424200000000001
38522.413113103714,0.25,0.55,0.23642500000000002,0.5436400000000001
38639.574516370856,0.27,0.51,0.24071,0.54669
40115.554869892774,0.23,0.51,0.23658,0.5398
38252.69075268487,0.295,0.56,0.24374,0.5453600000000001
37045.445777043176,0.27,0.52,0.24906,0.54503
37381.7041090382,0.27,0.54,0.25862,0.54416
38202.57613075236,0.295,0.55,0.24483000000000002,0.53923
38028.81099137325,0.31,0.51,0.238045,0.54602
40673.112174705995,0.225,0.59,0.23798000000000002,0.5401200000000002
36553.0357875957,0.26,0.62,0.24410500000000002,0.54353
40276.825367738915,0.275,0.57,0.242435,0.5408999999999999
38690.3524761545,0.255,0.5,0.235855,0.5414100000000001
40766.846251033996,0.195,0.52,0.226185,0.5374099999999999
40104.37218756437,0.23,0.54,0.236935,0.53911
39855.152899653156,0.24,0.53,0.24814499999999998,0.5408099999999999
37165.25348992669,0.275,0.52,0.250715,0.5443300000000001
38228.04144529799,0.27,0.52,0.242575,0.54118
38824.881893969694,0.23,0.51,0.24699000000000002,0.54725
39671.38023294209,0.24,0.58,0.237215,0.5361
39330.476605079864,0.22,0.58,0.244895,0.54209
38902.5092693738,0.33,0.58,0.234515,0.54207
37980.4994160292,0.325,0.54,0.24708499999999997,0.5451100000000001
38984.4651400749,0.265,0.51,0.242685,0.54289
39750.72593949654,0.265,0.56,0.23772000000000001,0.542
38526.17767918859,0.29,0.58,0.25197,0.54303
37331.724053913335,0.265,0.57,0.25282499999999997,0.5390900000000001
38135.43536402742,0.325,0.54,0.25588,0.5460499999999999
39714.99134146526,0.29,0.55,0.245,0.54047
38724.23776857227,0.33,0.55,0.24403500000000003,0.54046
