length,common_edges,common_nodes,common_edges_mean,common_nodes_mean
361207.9117094973,0.23,0.58,0.229575,0.53622
356497.38963819353,0.225,0.52,0.235685,0.5416399999999999
363990.45634887344,0.255,0.54,0.22488999999999998,0.5385699999999999
352091.3188880383,0.28,0.58,0.227335,0.54533
332931.3905854366,0.2,0.54,0.228325,0.53866
340018.102756471,0.3,0.55,0.23008499999999998,0.5403800000000001
353659.4235597533,0.295,0.55,0.232595,0.54128
333891.79625782045,0.28,0.51,0.24331,0.54282
331092.45617258816,0.22,0.51,0.23416,0.54
359675.623117571,0.22,0.53,0.23192,0.5425099999999999
356089.3363857999,0.24,0.52,0.23917000000000002,0.54315
355386.1466207964,0.31,0.51,0.242675,0.54064
360683.4823704172,0.205,0.54,0.23407,0.5416099999999999
345915.88489021524,0.26,0.6,0.24566,0.54371
339104.21867437084,0.26,0.53,0.23955500000000002,0.5411900000000001
352674.1994345642,0.23,0.55,0.23705500000000002,0.54339
361984.8222125971,0.31,0.51,0.25058,0.54482
347473.97445229394,0.275,0.53,0.250875,0.5441
338039.06220378337,0.245,0.53,0.236235,0.5438200000000001
336588.5661484713,0.255,0.55,0.24751,0.54659
354104.3465541445,0.29,0.52,0.23700500000000002,0.5389400000000001
348553.15408186556,0.285,0.5,0.24850999999999998,0.54298
346152.4585301647,0.22,0.51,0.233385,0.53946
358215.3450302597,0.185,0.51,0.2407,0.5467799999999999
356781.1174896573,0.285,0.52,0.231845,0.54325
341151.7301864566,0.19,0.51,0.22844,0.53899
340232.5472402371,0.3,0.53,0.24791,0.54237
355130.3959717286,0.275,0.56,0.24324500000000002,0.54462
336889.000036606,0.29,0.55,0.23729000000000003,0.54367
350575.8173213572,0.24,0.54,0.23315,0.53913
349899.1274559003,0.27,0.61,0.238735,0.54202
360717.84170199546,0.305,0.61,0.23529000000000003,0.53825
331726.2060231486,0.295,0.51,0.23382,0.54019
352905.7495045308,0.29,0.5,0.24134999999999998,0.5447
350860.1201077836,0.3,0.54,0.23107000000000003,0.54055
341184.3621639317,0.305,0.54,0.24588,0.54076
359529.093312686,0.245,0.54,0.24254,0.5433600000000001
344559.8932932083,0.31,0.52,0.243805,0.5446
345382.44234264863,0.22,0.6,0.25851,0.5428700000000001
356062.2665989752,0.31,0.54,0.24245,0.5426599999999999
342493.1287711618,0.295,0.66,0.23970999999999998,0.53926
336898.421638222,0.235,0.53,0.23853,0.5453600000000001
354804.88312223647,0.255,0.54,0.24133500000000002,0.5431199999999999
356716.485775835,0.36,0.54,0.22998500000000002,0.54155
346286.5729884112,0.28,0.55,0.24041500000000002,0.5408200000000001
349620.47311348736,0.29,0.63,0.23959,0.54275
350067.4241940193,0.255,0.55,0.233665,0.54033
348504.352623738,0.28,0.55,0.229465,0.5383
348509.86297940806,0.37,0.56,0.244985,0.54479
343590.2122773034,0.285,0.62,0.238025,0.5436599999999999
352219.36220566946,0.26,0.52,0.2465,0.54501
335024.2970415924,0.31,0.58,0.25007999999999997,0.5437000000000001
345114.8363161918,0.37,0.58,0.237095,0.5415800000000001
337155.12665100035,0.26,0.5,0.24347,0.5420499999999999
357137.7899763235,0.29,0.6,0.24322000000000002,0.54547
354309.28857486567,0.27,0.53,0.240645,0.54322
359088.852326798,0.215,0.51,0.23335000000000003,0.5383600000000001
358012.65589880385,0.255,0.57,0.24602000000000004,0.54458
346847.35526853986,0.28,0.52,0.25305500000000003,0.54493
351477.790840199,0.295,0.52,0.24214,0.54309
346159.0342820246,0.205,0.57,0.22971,0.5425
350556.00544434565,0.21,0.53,0.23493,0.53741
348019.20977098984,0.315,0.53,0.23782499999999998,0.54388
348178.3921188968,0.275,0.51,0.253995,0.54235
351367.25214002136,0.24,0.5,0.24309500000000003,0.5440499999999999
358449.75881898473,0.305,0.56,0.24493,0.5444200000000001
356173.9052411356,0.285,0.5,0.23679499999999998,0.5390199999999999
347247.2568130811,0.29,0.54,0.24349,0.54527
349866.60188832076,0.22,0.52,0.24015499999999998,0.54066
330877.3380720577,0.245,0.59,0.232165,0.54074
345359.8833489171,0.24,0.51,0.234095,0.53903
323640.2658391779,0.345,0.51,0.239625,0.54163
332722.7447089207,0.28,0.58,0.23741500000000001,0.54327
348650.5446820045,0.3,0.55,0.24560500000000002,0.54484
350099.80738398305,0.235,0.55,0.231685,0.54159
349566.2990231876,0.315,0.53,0.23585000000000003,0.53911
359431.3675026287,0.32,0.64,0.25035,0.54525
345345.2457242283,0.395,0.73,0.24405000000000002,0.54277
340996.26254929847,0.26,0.5,0.23495000000000002,0.5404100000000001
351934.6079707046,0.285,0.5,0.243885,0.54249
357838.3184465541,0.225,0.55,0.229235,0.54046
329593.0941762062,0.22,0.53,0.2337,0.5404399999999999
341891.7401398859,0.255,0.54,0.233345,0.54298
340481.894205453,0.255,0.51,0.23018,0.5419700000000001
358424.6300583711,0.29,0.55,0.23041,0.5386700000000001
344188.2167858282,0.28,0.52,0.23643,0.5431099999999999
349917.97322805633,0.28,0.54,0.243635,0.54083
358854.114630686,0.31,0.53,0.244185,0.5448099999999999
336408.4412104125,0.245,0.5,0.240705,0.54592
346611.3638494653,0.295,0.54,0.24026499999999998,0.5472100000000001
340458.47853504744,0.23,0.55,0.23998000000000003,0.54375
353412.5017207323,0.26,0.51,0.247085,0.5440999999999999
347812.3571807083,0.24,0.53,0.25206,0.54672
342120.45620565047,0.325,0.55,0.227245,0.53869
357160.8140894781,0.235,0.52,0.24303000000000002,0.5399499999999999
331987.98219082394,0.32,0.51,0.24636000000000002,0.54125
333091.22477352305,0.335,0.55,0.23951,0.54159
345388.11436033505,0.225,0.5,0.24575999999999998,0.54128
346236.91248880094,0.325,0.56,0.246995,0.54049
336505.4610519262,0.17,0.6,0.2374,0.54186
340432.5698822341,0.21,0.55,0.23895499999999997,0.54417
359857.7057304203,0.2,0.53,0.237625,0.54172
354798.7912375957,0.255,0.54,0.22694499999999998,0.54243
341238.1868407774,0.285,0.59,0.23583500000000004,0.54433
351604.32880331937,0.245,0.56,0.22846,0.53937
342105.42363710084,0.245,0.52,0.240315,0.54162
355993.8688795611,0.335,0.56,0.248235,0.5451800000000001
344846.61744798167,0.27,0.58,0.24136000000000002,0.54314
345083.3961757313,0.36,0.61,0.25023,0.5423699999999999
346896.37889843725,0.275,0.51,0.24234999999999998,0.5454000000000001
337796.7356042225,0.34,0.63,0.249685,0.54182
356798.3060983719,0.385,0.53,0.22942500000000002,0.5384399999999999
341008.52684931783,0.19,0.53,0.23757,0.54413
340569.2295463012,0.215,0.55,0.22874,0.5384200000000001
349467.6436384453,0.19,0.56,0.23137,0.5405800000000001
337275.8023943264,0.315,0.52,0.23811000000000002,0.54246
338464.9562746446,0.265,0.53,0.23672500000000002,0.5446599999999999
351706.9081148013,0.29,0.56,0.23739000000000002,0.5451
350313.277356855,0.255,0.54,0.245425,0.54177
367662.9862806875,0.35,0.56,0.24107000000000003,0.54101
350667.9793620077,0.37,0.52,0.24195999999999998,0.53825
339333.79588850704,0.3,0.64,0.23954,0.5385
352540.1716457762,0.25,0.55,0.245505,0.54147
348612.71835704544,0.3,0.52,0.24124,0.5393199999999999
358393.5571161455,0.31,0.53,0.24610500000000002,0.5422
351320.58964284556,0.29,0.65,0.232485,0.53859
349625.4745651468,0.265,0.5,0.242735,0.54126
347548.63114075747,0.245,0.5,0.224075,0.53751
353996.7185861082,0.26,0.57,0.23597500000000002,0.5408499999999999
347806.2624331021,0.27,0.55,0.22998500000000002,0.53813
340589.08528625884,0.18,0.59,0.24520999999999998,0.54033
333686.51710660505,0.2,0.55,0.24527000000000002,0.5405800000000001
